2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 14:01:22,696 [22,    20] loss: 0.3470
2023-07-23 14:01:22,806 [22,    24] loss: 0.2536
2023-07-23 14:01:22,917 [22,    28] loss: 0.2525
2023-07-23 14:01:23,028 [22,    32] loss: 0.2656
2023-07-23 14:01:23,140 [22,    36] loss: 0.4688
2023-07-23 14:01:23,250 [22,    40] loss: 0.3599
2023-07-23 14:01:23,362 [22,    44] loss: 0.2812
2023-07-23 14:01:23,473 [22,    48] loss: 0.3844
2023-07-23 14:01:23,585 [22,    52] loss: 0.2231
2023-07-23 14:01:23,695 [22,    56] loss: 0.3715
2023-07-23 14:01:23,806 [22,    60] loss: 0.2118
2023-07-23 14:01:23,918 [22,    64] loss: 0.2547
2023-07-23 14:01:24,031 [22,    68] loss: 0.3094
2023-07-23 14:01:24,144 [22,    72] loss: 0.3307
2023-07-23 14:01:24,255 [22,    76] loss: 0.1815
2023-07-23 14:01:24,365 [22,    80] loss: 0.5094
2023-07-23 14:01:53,847 [23,     4] loss: 0.2630
2023-07-23 14:01:53,962 [23,     8] loss: 0.2948
2023-07-23 14:01:54,077 [23,    12] loss: 0.2502
2023-07-23 14:01:54,193 [23,    16] loss: 0.1884
2023-07-23 14:01:54,308 [23,    20] loss: 0.1591
2023-07-23 14:01:54,420 [23,    24] loss: 0.2669
2023-07-23 14:01:54,532 [23,    28] loss: 0.1445
2023-07-23 14:01:54,646 [23,    32] loss: 0.1578
2023-07-23 14:01:54,759 [23,    36] loss: 0.1793
2023-07-23 14:01:54,871 [23,    40] loss: 0.2191
2023-07-23 14:01:54,984 [23,    44] loss: 0.1931
